Trial,Post-Stimulus Frontal Mean,Pre-Response Frontal Mean,Post-Stimulus Frontal Stdev,Pre-Response Frontal Stdev,Post-Stimulus Central Mean,Pre-Response Central Mean,Post-Stimulus Central Stdev,Pre-Response Central Stdev,Post-Stimulus Temporal-L Mean,Pre-Response Temporal-L Mean,Post-Stimulus Temporal-L Stdev,Pre-Response Temporal-L Stdev,Post-Stimulus Temporal-R Mean,Pre-Response Temporal-R Mean,Post-Stimulus Temporal-R Stdev,Pre-Response Temporal-R Stdev,Post-Stimulus Occipital Mean,Pre-Response Occipital Mean,Post-Stimulus Occipital Stdev,Pre-Response Occipital Stdev
27,0.30547333,0.043183733,7.0019517,7.8787785,0.02177006,0.13434003,3.33845,3.510509,-0.07493181,0.15606388,4.5845833,5.450183,0.0039035752,-0.01868641,4.296582,3.9980292,-0.19848573,-0.28435043,5.686328,5.304402
28,0.18100236,0.11840373,6.557657,8.001455,0.041100968,-0.16071948,3.5312557,3.029815,0.1386605,0.06826997,4.982756,4.8884325,-0.22893155,0.0139174685,4.4526796,3.9748893,-0.0900234,0.05216911,5.0394464,4.950508
29,0.1529926,-0.15868594,6.3953476,8.349085,-0.14822963,-0.017166669,3.9080074,3.9433095,0.13250376,-0.018565418,4.7214165,4.374883,-0.07250211,0.105658956,4.380852,4.391889,0.01573671,-0.020820305,5.379538,4.776355
30,-0.21987866,-0.100217514,5.747015,4.787845,0.11313287,-0.09016632,4.048083,3.3800755,-0.2560951,0.0930442,5.266413,4.1010985,0.10677973,0.220681,4.8940525,4.231279,0.04271974,-0.041505214,5.1664333,5.3277054
31,-0.06966194,-0.078285374,4.568895,4.217377,0.22528367,0.17075111,3.311368,3.5266309,-0.29855445,-0.030380175,4.6235304,4.5822606,-0.055555094,0.07797487,3.7991803,3.849038,0.032930028,-0.20290864,4.8818107,4.8151693
32,-0.06823359,0.11561499,13.724971,5.0451627,0.15668337,0.007986765,4.5855956,3.715268,-0.2666646,0.12786071,4.3523936,4.6524873,0.18441765,-0.0077123772,4.1259804,3.915698,-0.043326333,-0.063513,6.5918574,4.9817414
33,-0.14783677,0.08311403,4.866788,4.4414244,-0.09422537,0.12742077,4.2865214,3.1017666,0.04677233,0.011162906,4.3633103,3.8847287,-0.009912434,-0.01746976,4.396473,3.742777,0.22290163,-0.15639119,5.4535437,5.0529566
34,-0.03269236,-0.022424972,5.109268,5.487528,0.10755211,-0.13619779,3.6664703,3.4852705,-0.127032,0.13200982,4.865285,4.632004,0.014474641,-0.16935599,4.3464513,4.2897153,-0.016674042,0.26867434,5.452713,5.581697
35,0.25115022,-0.10006392,5.255674,7.2466288,0.08382514,0.13087301,4.2347183,3.5766492,-0.202637,-0.1576491,4.001788,4.2278376,-0.073876806,-0.009090103,3.9176018,3.5755067,-0.120276414,-0.0045029894,5.554714,4.96346
36,0.17431127,-0.028239185,4.486552,4.3964386,0.018988928,0.31069186,3.473852,3.8853312,0.049712572,-0.054241236,3.7579904,4.259933,-0.094979905,-0.24244928,3.4224205,3.1909738,-0.11650235,-0.015823865,5.031083,4.872584
37,-0.16866271,-0.26260298,5.160344,4.37012,-0.19248551,0.23025723,3.424207,3.5252237,0.09092533,-0.26648515,4.1780577,4.1944613,0.05841924,0.19017963,3.536171,3.110244,0.2131754,-0.029691242,5.2240834,4.9318933
38,-0.56328374,0.33394253,10.781559,4.6891255,0.18933451,-0.1544957,4.102075,3.4347045,0.11836431,-0.087404616,3.8397784,3.707708,0.017197946,-0.08683097,3.3910842,3.3880963,0.030919215,0.0025763537,5.546378,4.81538
39,-0.07165833,-0.08044022,8.812859,9.085679,-0.22055046,0.16316026,3.3603015,3.8051658,-0.10275505,0.034037482,5.4708867,5.7900734,0.17548086,-0.18631071,5.5760727,5.734304,0.16521136,0.061387654,5.5063314,5.843666
40,-0.12976302,0.20741343,6.9588184,7.7841387,0.023055434,-0.0692846,3.406732,3.9486914,0.11484326,0.016345719,4.602448,5.2338305,0.017707622,0.005231824,5.9186683,5.584607,-0.08175355,0.013506222,4.730055,5.43456
41,-0.22316463,-0.3217564,7.9775267,7.7151227,0.0071494677,0.10373264,3.7430124,3.702813,0.06007919,0.174577,5.1682773,5.6999397,-0.102061756,-0.05792095,5.34139,5.3404236,0.18412496,0.07716334,5.4329023,5.126088
42,0.22970115,-0.011459987,7.9520416,7.4847574,-0.05270474,-0.20373613,3.4522614,3.9870033,0.36955413,-0.1076533,5.3926325,4.7968082,-0.060590018,0.034429442,5.31987,4.7192264,-0.26742008,0.15084076,4.9173393,5.2135606
43,-0.09373635,0.03909114,6.9659824,8.266912,0.07211639,0.045227062,3.2703257,4.0678163,-0.25067616,-0.18756944,3.9631953,5.538838,0.010911585,-0.13563862,4.319103,4.2548304,0.12897879,0.032673325,4.8838787,5.207215
44,-0.1270258,0.053230304,6.9850936,7.2864723,-0.0793682,0.12712103,3.3653965,3.7197757,0.1346771,-0.24699748,4.0145974,4.5618105,0.04858512,-0.04711194,4.116328,4.044469,0.017684672,0.04699819,5.0629625,4.612004
45,0.044570338,0.3860778,6.6996584,7.035498,-0.054382622,-0.059052497,3.6462622,3.1233628,0.09051845,-0.10223955,3.7451012,4.255283,-0.06257904,0.021225704,4.5047545,4.3910003,-0.0381764,-0.2441315,5.201952,5.011291
46,0.06434854,0.018215941,5.934051,6.7970176,0.13869463,-0.03187244,3.6151965,3.875088,-0.059997495,-0.062254127,3.6953433,4.9967647,-0.09450518,0.10957346,3.8751056,4.497324,-0.14168815,0.09310765,5.712949,5.355574
47,0.19588958,-0.055327117,6.9416614,7.2353597,0.12043116,0.0779957,3.382336,3.8805063,-0.012539477,-0.008932724,4.531954,4.359655,0.057212953,0.009159866,4.3983994,4.628259,-0.31730062,-0.022161633,6.2563114,4.937208
48,-0.015174929,0.17805283,6.879397,6.9239345,-0.02329804,0.14378826,3.1391783,3.7465525,-0.027136603,-0.06378934,4.389966,4.71369,-0.0036746922,-0.09520951,4.391977,4.443294,0.020037023,-0.21598053,5.616791,5.1314545
49,0.13083254,-0.01426851,6.905177,7.235243,-0.113510646,0.024791317,4.178312,3.5817137,0.07409605,0.10577786,4.670779,3.9217625,0.08375013,-0.11658188,4.631475,4.3000593,-0.14961167,-0.03032145,5.555749,4.9657226
50,0.052464247,-0.21113229,7.117514,6.818549,-0.20231791,0.0148043195,3.5477316,3.289758,0.11797789,0.12308025,3.841558,3.9386532,0.08659077,-0.105638035,3.9124067,4.1385803,-0.0076431283,0.10959216,5.3478017,4.9312344
51,-0.32173452,0.1433906,7.384656,8.303032,-0.029414006,0.06068769,3.607894,3.4908555,0.1335433,-0.23954152,4.0588064,4.24787,-0.017515508,0.09395983,4.7178736,4.328525,0.14532328,-0.12777549,4.865494,5.6908207
52,0.04341027,-0.076052256,6.7067823,7.456338,0.001136483,-0.16559063,3.439045,3.789657,0.042327087,0.15878059,4.0825434,4.5571256,0.02110991,0.007078922,3.8780448,4.0031257,0.023128489,0.1640083,5.4315915,5.442864
53,-0.21602933,0.28106984,7.9060416,7.883906,-0.21774425,-0.0044847825,4.357888,3.800155,0.0024828922,-0.066952206,4.3339925,5.192122,0.17017967,-0.09888329,4.8901076,4.6441584,0.32131484,-0.07936881,6.207102,5.49029
54,-0.09417605,-0.38826802,6.506716,7.316916,-0.27168915,0.22226293,3.6727855,3.358095,0.32372165,-0.1667027,4.732734,4.7858257,0.06026577,-0.058224708,4.305001,4.524091,0.12936206,0.16039146,4.990408,4.913216
55,0.06213886,-0.22498964,7.5996804,7.830264,0.011141937,-0.13592136,3.5421367,3.9472234,0.1216115,0.07767638,4.299738,5.3356757,-0.069007955,0.11667961,4.9735827,3.8904784,-0.10821601,0.13331497,4.934799,5.2418165
56,0.088561125,-0.14976382,7.4164624,7.088134,-0.12437863,0.14425133,3.5720317,3.760703,-0.02961635,0.0049709654,5.0384164,4.483392,0.03869601,-0.022607127,4.918697,4.080113,0.0026631865,-0.10880029,5.164404,4.9050937
57,-0.14720757,0.566442,6.892794,7.549279,0.049288422,-0.031982455,3.2807376,4.0255504,0.11529129,0.075897,4.692645,3.9745562,-0.12451776,0.11567095,4.1397977,4.478916,0.107099265,-0.50629544,4.7574053,5.095835
58,0.0870659,0.11439967,3.8180156,4.919372,-0.0392585,-0.1139828,3.3786273,3.3962808,0.03776558,0.052943263,4.1351824,4.4967117,-0.11503989,0.068770505,3.6999369,3.7898407,-0.025935052,-0.049913783,4.8226995,4.8387685
59,-0.29370037,-0.25206918,4.624581,5.0189686,-0.15127267,0.26660168,3.265531,3.7099817,0.36312878,-0.05682826,4.6613774,5.1626816,0.031046668,0.10188595,4.188688,4.203676,0.16557068,0.0045632855,5.1530323,5.644043
60,-0.22028232,-0.17813046,4.8731036,3.580413,0.07677435,0.09214363,3.3782487,3.3200667,0.0012629479,-0.019030152,4.1821055,4.076437,-0.13455127,-0.08394452,3.6894798,3.269833,0.111723244,0.07919685,4.742444,4.5477967
61,-0.11424196,-0.10262061,4.5886984,4.5087967,-0.0032391336,-0.16008347,3.500442,3.5596046,0.019540155,0.34980202,3.996378,3.957749,-0.025239823,0.06962662,3.6735477,3.3875942,0.12460863,-0.014410786,5.3564744,4.61721
62,-0.13462631,-0.34507373,4.108293,5.098189,-0.04732288,0.06793225,3.6654286,3.4139183,0.18884622,-0.08623316,4.3427954,3.982157,-0.20101953,-0.017527869,3.117189,3.3871958,0.14172882,0.26914936,4.7660995,4.7512503
63,0.29871273,0.0077377767,4.853233,3.9239101,0.05183417,0.13817967,3.624861,3.5488882,-0.13928576,0.036321532,4.7267704,4.3555617,-0.053079695,-0.14315301,3.1856542,3.387421,-0.19176374,-0.011581552,5.2878017,4.1474915
64,-0.24226184,0.06340038,5.2262716,4.532111,-0.020498386,0.11947308,3.9474154,3.4672194,-0.0029788401,-0.20225,3.7927723,4.0577755,0.09656787,0.0383954,3.6703234,3.026462,0.09506393,-0.13218707,5.0520825,4.943302
65,0.16072996,0.05286926,4.225605,4.042915,-0.12080621,-0.1745534,3.2211225,3.4756863,0.10509766,-0.030590152,4.342644,3.8332343,0.05713703,0.08781802,3.5755622,3.2202895,-0.04164304,0.1526935,5.1993184,4.612284
66,-0.109511636,-0.29469097,3.8269386,4.5963593,0.117998965,0.11183534,3.063699,3.6316514,0.008069128,0.15894489,3.9308863,3.9465814,0.07954472,-0.028682629,3.080507,3.5778577,-0.04366615,0.076828755,4.4109545,5.220693
67,0.30423427,0.22408374,4.3495526,5.071895,-0.15450512,0.18338938,4.1055965,4.1317286,0.025014147,0.097515844,4.031656,5.8756475,0.020171918,-0.0277388,3.6077204,3.7502859,-0.04824711,-0.36962402,4.65496,5.220449
68,-0.2277856,0.08202942,3.505724,4.037306,0.1531664,0.0051988163,3.4462621,3.5248988,-0.07088754,0.09618806,3.512845,4.12957,0.06615739,-0.031696737,2.8379734,3.2129965,0.14795883,-0.090959825,4.752151,4.8419485
69,0.06675947,-0.059337568,4.7017865,4.220487,0.1310211,0.06971428,3.4959948,3.6565106,-0.06717058,0.27447554,3.607732,4.856468,-0.11288297,-0.3449005,3.1253018,3.8118963,-0.046884645,0.0067605563,4.8748355,4.4504147
70,0.017843584,0.1623547,5.0461817,4.1459765,-0.13299341,-0.06911233,3.752687,3.2825072,-0.06910105,-0.17646392,6.657923,6.2006383,0.2103272,0.21803522,4.3713984,4.9333663,0.00025224313,-0.059467405,5.439402,4.978143
71,0.080337435,0.22897153,4.7193427,3.955911,-0.023007594,0.099565186,3.6761217,3.4521284,0.034580942,-0.10306982,6.0712876,6.3437653,0.041106824,0.051346797,4.4858823,4.1295996,-0.0890311,-0.18510085,5.9037776,5.2370334
72,-0.19325854,0.14572446,4.2057424,4.5006437,-0.16332062,-0.24187009,3.431115,3.345243,0.018185439,0.04326479,6.318786,5.415493,0.2991669,-0.14680347,4.470102,4.046771,0.11990964,0.18004622,5.2970743,5.006872
73,-0.015367274,-0.011701782,3.814395,4.4855046,-0.16867279,-0.07372653,3.4495084,3.7106547,0.2636584,0.15827882,4.5221257,6.4077606,-0.013875581,0.114682,3.3162432,4.0051665,0.11772311,-0.037422437,4.683689,5.1820116
74,0.0641999,-0.044455323,4.3830547,3.547003,-0.09186852,-0.108858444,3.1932268,3.3309069,0.09867773,0.011383701,5.5189204,5.566384,-0.118071,0.106760085,3.6246202,3.5882723,0.0052633197,0.098216616,5.079798,4.769777
